AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Reviews,Mac,Linux,Metacritic score,Positive,Negative,Score rank,Recommendations,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres_x,rating,owners_min,owners_max,year,ID,Title,ReleaseDate,Rating,Genres_y,Platforms,Metascore,Userscore,Developer,Publisher
3980,civcity: rome,2007-04-06,100000 - 200000,8,0,2.49,75,[],True,False,False,0,624,234,0,483,0,481,0,"FireFly Studios,Firaxis Games",2K,"Single-player,Family Sharing",0.0,100000,200000,2007,9408.0,civcity: rome,2006-07-24,E10+,Management,PC,67.0,63.0,"firefly studios,firaxis games","2k games,mastertronic,ak tronic,sold out software"
1393370,actraiser renaissance,2021-09-23,20000 - 50000,4,0,11.99,60,[],True,False,False,0,515,174,41,466,0,510,0,"Square Enix,Sonic Powered",Square Enix,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",0.0,20000,50000,2021,5975.0,actraiser renaissance,2021-09-23,E10+,Action Adventure,"Nintendo Switch,PlayStation 4,PC",74.0,77.0,sonic powered,square enix
1157220,nebuchadnezzar,2021-02-17,100000 - 200000,8,0,7.99,60,"['English', 'Swedish']",True,False,True,0,1354,352,48,361,0,271,0,Nepos Games,Astra Logical,"Single-player,Steam Achievements,Steam Workshop,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Steam Cloud,Family Sharing",0.0,100000,200000,2021,6486.0,nebuchadnezzar,2021-02-17,Unknown,Management,PC,73.0,72.0,nepos games,nepos games
115220,american conquest: fight back,2011-08-26,100000 - 200000,7,0,1.24,75,[],True,False,False,0,398,172,0,17,0,24,0,GSC Game World,GSC World Publishing,"Single-player,Family Sharing",0.0,100000,200000,2011,9843.0,american conquest: fight back,2003-09-29,T,Command RTS,PC,66.0,82.0,gsc game world,"cdv software,gsc game world"
522200,loading human: chapter 1,2016-10-14,0 - 20000,0,0,0.99,90,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",True,False,False,0,14,29,16,0,0,0,0,Untold Games,Maximum Games,"Single-player,Full controller support,Tracked Controller Support,VR Only,Family Sharing",0.0,0,20000,2016,12667.0,loading human: chapter 1,2016-10-13,T,First-Person Adventure,PlayStation 4,53.0,65.0,untold games,maximum games
1941540,mafia: the old country,2025-08-07,0 - 20000,0,17,44.99,10,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Russian', 'Ukrainian']",True,False,False,0,0,0,55,829,184,765,202,Hangar 13,2K,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Subtitle Options,Surround Sound,HDR available,Family Sharing",,0,20000,2025,6421.0,mafia: the old country,2025-08-08,M,Linear Action Adventure,"PlayStation 5,Xbox Series X,PC",73.0,77.0,hangar 13,2k games
1095040,unexplored 2: the wayfarer's legacy,2022-05-27,50000 - 100000,0,0,19.99,0,[],True,False,False,0,259,80,25,59,0,48,0,Ludomotion,Ludomotion,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing",0.0,50000,100000,2022,8540.0,unexplored 2: the wayfarer's legacy,2021-05-20,Unknown,Action RPG,PC,69.0,16.0,ludomotion,ludomotion
1087760,the gunk,2022-04-29,100000 - 200000,16,0,1.24,95,"['English', 'Simplified Chinese']",True,False,False,0,2382,385,17,206,200,183,398,Image & Form Games,Thunderful Publishing,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",0.0,100000,200000,2022,8194.0,the gunk,2021-12-16,T,3D Platformer,"Xbox Series X,Xbox One,PC",70.0,68.0,image & form,thunderful
739650,drake hollow,2020-10-01,100000 - 200000,14,0,4.49,85,[],True,False,False,0,1345,381,50,481,0,385,0,The Molasses Flood,CD PROJEKT RED,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing",0.0,100000,200000,2020,5647.0,drake hollow,2020-08-28,E10+,Action Adventure,Xbox One,75.0,64.0,the molasses flood,the molasses flood
1996430,dicefolk,2024-02-27,50000 - 100000,12,0,7.49,0,[],True,False,False,0,802,91,49,806,0,1390,0,"LEAP Game Studios,Tiny Ghoul",Good Shepherd Entertainment,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",0.0,50000,100000,2024,3572.0,dicefolk,2024-02-27,Unknown,Turn-Based Strategy,"PC,Nintendo Switch",79.0,73.0,leap game studios,good shepherd entertainment
